E(MeV)  Sigma (mb),     <L>(hbar)  
55.0, 	9.74475e-03, 	5.87031, 
56.0, 	0.05489, 	5.94331, 
57.0, 	0.28583, 	6.05132,  
58.0, 	1.36501, 	6.19270, 
59.0, 	5.84379, 	6.40451, 
60.0, 	20.59857, 	6.86094,  
61.0, 	52.14420, 	7.81888,  
62.0, 	94.62458, 	9.18914,  
63.0, 	139.58974, 	10.65032, 
64.0, 	185.55949, 	11.98385, 
65.0, 	234.04517, 	13.13046, 
66.0, 	283.93521, 	14.18620,
67.0, 	333.26115, 	15.21129, 
68.0, 	381.21018, 	16.20563, 
69.0, 	427.61806, 	17.16333, 
70.0, 	472.48082, 	18.08211,
71.0, 	515.83672, 	18.96273,
72.0, 	557.73619, 	19.80734, 
73.0, 	598.23604, 	20.61860, 
74.0, 	637.39722, 	21.39926, 
